Date,Close,Open,High,Low,Vol.,Change %
2006-07-06,8197.8,8163.9,8220.2,8163.9,,0.42%
2006-07-07,8155.1,8197.8,8218.6,8143.0,,-0.52%
2006-07-10,8175.2,8154.9,8210.9,8154.9,,0.25%
2006-07-11,8206.3,8175.2,8211.7,8126.3,,0.38%
2006-07-12,8113.2,8206.3,8206.3,8105.0,,-1.13%
2006-07-13,7991.9,8113.1,8113.1,7986.9,,-1.50%
2006-07-14,7950.1,7992.0,7992.0,7897.9,,-0.52%
2006-07-17,7892.9,7950.1,7950.1,7879.4,,-0.72%
2006-07-18,7898.4,7892.9,7926.3,7824.4,,0.07%
2006-07-19,8076.6,7898.4,8088.1,7898.4,,2.26%
2006-07-20,8007.5,8076.7,8101.6,8007.5,,-0.86%
2006-07-21,7953.1,8007.6,8022.6,7944.4,,-0.68%
2006-07-24,8099.9,7953.1,8108.6,7953.1,,1.85%
2006-07-25,8149.8,8099.9,8168.0,8082.5,,0.62%
2006-07-26,8164.3,8149.8,8190.2,8105.0,,0.18%
2006-07-27,8144.9,8164.3,8231.0,8134.9,,-0.24%
2006-07-28,8255.0,8144.9,8264.1,8144.9,,1.35%
2006-07-31,8242.1,8255.0,8255.0,8228.2,,-0.16%
2006-08-01,8206.1,8242.2,8242.2,8158.6,,-0.44%
2006-08-02,8259.9,8206.1,8288.5,8206.1,,0.66%
2006-08-03,8262.4,8259.9,8283.7,8206.6,,0.03%
2006-08-04,8270.9,8262.5,8356.1,8240.1,,0.10%
2006-08-07,8238.5,8270.8,8270.8,8223.1,,-0.39%
2006-08-08,8210.2,8238.6,8282.7,8196.1,,-0.34%
2006-08-09,8192.6,8210.3,8294.7,8187.8,,-0.21%
2006-08-10,8209.8,8192.6,8213.1,8152.0,,0.21%
2006-08-11,8163.3,8209.7,8209.7,8140.1,,-0.57%
2006-08-14,8169.7,8163.3,8232.3,8163.1,,0.08%
2006-08-16,8357.4,8296.0,8362.8,8296.0,,0.74%
2006-08-17,8354.1,8357.4,8375.1,8330.5,,-0.04%
2006-08-18,8379.9,8354.1,8380.0,8325.5,,0.31%
2006-08-21,8361.7,8379.9,8379.9,8352.0,,-0.22%
2006-08-22,8364.2,8361.7,8377.8,8335.3,,0.03%
2006-08-23,8320.2,8364.1,8382.3,8302.6,,-0.53%
2006-08-24,8327.6,8320.3,8342.9,8299.8,,0.09%
2006-08-25,8318.0,8327.7,8335.8,8303.7,,-0.12%
2006-08-28,8359.2,8318.0,8374.9,8307.9,,0.50%
2006-08-29,8383.6,8359.2,8385.5,8322.5,,0.29%
2006-08-30,8388.4,8383.6,8400.3,8370.7,,0.06%
2006-08-31,8388.6,8388.3,8401.1,8375.9,,0.00%
2006-09-01,8435.8,8388.7,8443.4,8388.7,,0.56%
2006-09-05,8453.0,8435.8,8456.9,8423.4,,0.20%
2006-09-06,8345.2,8452.9,8452.9,8343.3,,-1.28%
2006-09-07,8287.8,8345.2,8345.2,8269.0,,-0.69%
2006-09-08,8294.6,8287.8,8303.6,8275.8,,0.08%
2006-09-11,8262.2,8294.6,8294.6,8219.0,,-0.39%
2006-09-12,8348.3,8262.3,8352.5,8262.3,,1.04%
2006-09-13,8382.7,8348.3,8391.7,8333.3,,0.41%
2006-09-14,8357.8,8382.7,8382.7,8344.9,,-0.30%
2006-09-15,8363.5,8357.8,8382.5,8353.4,,0.07%
2006-09-18,8390.5,8363.5,8406.2,8355.1,,0.32%
2006-09-19,8347.6,8390.5,8391.9,8309.5,,-0.51%
2006-09-20,8391.8,8347.6,8416.7,8347.6,,0.53%
2006-09-21,8373.3,8391.8,8424.6,8360.1,,-0.22%
2006-09-22,8344.7,8373.3,8373.6,8325.6,,-0.34%
2006-09-25,8398.4,8344.7,8412.5,8302.7,,0.64%
2006-09-26,8451.8,8398.6,8454.8,8386.3,,0.64%
2006-09-27,8476.5,8451.8,8488.3,8449.0,,0.29%
2006-09-28,8490.7,8476.5,8498.3,8466.4,,0.17%
2006-09-29,8469.6,8490.4,8491.9,8469.0,,-0.25%
2006-10-03,8447.8,8461.4,8477.8,8416.1,,-0.16%
2006-10-04,8538.7,8447.8,8538.7,8433.8,,1.08%
2006-10-05,8570.5,8538.6,8573.3,8531.9,,0.37%
2006-10-06,8534.3,8570.5,8570.5,8499.7,,-0.42%
2006-10-09,8538.4,8534.3,8551.2,8516.2,,0.05%
2006-10-10,8563.6,8538.4,8564.0,8531.1,,0.30%
2006-10-11,8540.6,8563.6,8569.3,8508.9,,-0.27%
2006-10-12,8626.9,8540.8,8629.2,8540.8,,1.01%
2006-10-13,8645.5,8626.8,8653.6,8610.7,,0.22%
2006-10-16,8692.5,8645.4,8694.4,8644.6,,0.54%
2006-10-17,8646.5,8692.5,8692.5,8607.4,,-0.53%
2006-10-18,8663.5,8646.3,8701.6,8636.7,,0.20%
2006-10-19,8700.8,8663.5,8702.6,8657.9,,0.43%
2006-10-20,8702.0,8700.8,8708.1,8675.5,,0.01%
2006-10-23,8736.6,8702.0,8736.6,8659.7,,0.40%
2006-10-26,8845.3,8795.8,8846.2,8789.3,,0.56%
2006-10-27,8779.9,8845.3,8845.3,8774.1,,-0.74%
2006-10-30,8766.8,8779.9,8782.8,8743.6,,-0.15%
2006-10-31,8775.0,8766.8,8786.9,8740.2,,0.09%
2006-11-01,8718.1,8775.0,8805.0,8713.5,,-0.65%
2006-11-02,8722.6,8718.1,8724.0,8684.8,,0.05%
2006-11-03,8716.8,8722.7,8747.4,8697.2,,-0.07%
2006-11-06,8819.6,8716.8,8828.3,8716.7,,1.18%
2006-11-07,8835.2,8819.6,8872.6,8818.9,,0.18%
2006-11-08,8857.5,8835.1,8867.2,8793.7,,0.25%
2006-11-09,8813.7,8857.5,8862.7,8807.4,,-0.49%
2006-11-10,8828.0,8813.8,8833.9,8800.2,,0.16%
2006-11-13,8824.0,8827.9,8838.8,8803.8,,-0.05%
2006-11-14,8880.5,8824.1,8884.1,8799.5,,0.64%
2006-11-15,8901.5,8880.5,8923.4,8868.2,,0.24%
2006-11-16,8894.5,8901.6,8923.7,8893.5,,-0.08%
2006-11-17,8897.2,8894.5,8897.2,8850.6,,0.03%
2006-11-20,8884.2,8897.1,8908.9,8870.0,,-0.15%
2006-11-21,8918.1,8884.2,8919.7,8884.2,,0.38%
2006-11-22,8948.9,8918.0,8961.9,8917.6,,0.35%
2006-11-24,8933.4,8948.9,8954.5,8917.6,,-0.17%
2006-11-27,8820.6,8933.3,8933.3,8815.7,,-1.26%
2006-11-28,8851.6,8820.6,8854.6,8802.6,,0.35%
2006-11-29,8947.2,8851.7,8954.2,8851.7,,1.08%
2006-11-30,8969.0,8947.2,8995.6,8929.6,,0.24%
2006-12-01,8949.1,8969.0,8980.3,8885.8,,-0.22%
2006-12-04,9019.0,8949.1,9025.1,8947.9,,0.78%
2006-12-05,9064.9,9019.0,9068.3,9019.0,,0.51%
2006-12-06,9047.8,9064.9,9069.6,9033.9,,-0.19%
2006-12-07,9042.0,9048.0,9092.5,9039.4,,-0.06%
2006-12-08,9042.2,9042.0,9074.2,9023.9,,0.00%
2006-12-11,9064.7,9042.2,9070.6,9033.0,,0.25%
2006-12-12,9059.3,9064.7,9068.9,9019.0,,-0.06%
2006-12-13,9082.1,9059.3,9091.9,9059.3,,0.25%
2006-12-14,9147.2,9082.1,9155.9,9081.7,,0.72%
2006-12-15,9140.4,9147.2,9171.8,9131.6,,-0.07%
2006-12-18,9105.0,9140.4,9164.2,9097.1,,-0.39%
2006-12-19,9139.4,9105.0,9150.8,9070.7,,0.38%
2006-12-20,9128.9,9139.5,9169.6,9128.9,,-0.11%
2006-12-21,9103.5,9128.9,9138.6,9085.3,,-0.28%
2006-12-22,9062.1,9103.6,9107.6,9051.9,,-0.45%
2006-12-26,9102.2,9062.1,9105.6,9062.1,,0.44%
2006-12-27,9179.4,9102.5,9182.3,9102.5,,0.85%
2006-12-28,9172.8,9179.4,9188.2,9157.1,,-0.07%
2006-12-29,9139.0,9172.8,9176.8,9133.2,,-0.37%
2007-01-03,9132.2,9138.0,9209.3,9093.0,,-0.07%
2007-01-04,9113.2,9132.2,9132.2,9070.1,,-0.21%
2007-01-05,9025.0,9113.2,9113.2,9002.3,,-0.97%
2007-01-08,9041.1,9025.0,9052.1,8993.6,,0.18%
2007-01-09,9023.9,9041.1,9048.3,8984.2,,-0.19%
2007-01-10,9003.1,9023.9,9023.9,8957.2,,-0.23%
2007-01-11,9063.1,9003.2,9091.5,9003.2,,0.67%
2007-01-12,9139.9,9063.1,9141.4,9063.1,,0.85%
2007-01-16,9139.6,9139.9,9164.4,9122.0,,0.00%
2007-01-17,9146.3,9139.7,9169.4,9120.3,,0.07%
2007-01-18,9125.4,9146.3,9177.3,9114.8,,-0.23%
2007-01-19,9179.5,9125.5,9179.5,9123.1,,0.59%
